m,0,0
m,1,0
m,2,0
m,3,0
m,4,0
m,5,0
m,6,0
m,7,0
m,8,0
m,9,0
m,10,0
m,11,0
m,12,0
m,13,0
m,14,0
m,15,0
m,16,0
m,17,0
m,18,0
m,19,0
m,19,1
m,19,2
m,19,3
m,19,4
m,19,5
m,19,6
m,19,7
m,19,8
m,19,9
m,0,1
m,0,2
m,0,3
m,0,4
m,0,5
m,0,6
m,0,7
m,0,8
m,0,9
m,1,9
m,2,9
m,3,9
m,4,9
m,5,9
m,6,9
m,7,9
m,8,9
m,9,9
m,10,9
m,11,9
m,12,9
m,13,9
m,14,9
m,15,9
m,16,9
m,17,9
m,18,9
m,19,9
h,4,8
cb,2,6
cb,2,5
cb,2,4
b,3,1
m,10,1
m,10,2
m,10,3
m,10,4
m,10,6
cr,18,5
cr,17,5
cr,16,5
cr,15,5
cr,14,5
cr,13,5
cr,12,5
cr,11,5
cb,18,7
cb,17,7
cb,16,7
cb,15,7
cb,14,7
cb,13,7
cb,12,7
cb,11,7
/c,18,8
/c,17,8
/c,16,8
/c,15,8
/c,14,8
/c,13,8
/c,12,8
/c,11,8
/s,9,4
